# z[kpc], Isyn1, Isyn2, alpha_syn, I1, I2, alpha
6.760000e+00 9.140508e-03 1.425735e-03 1.494318e+00 1.512049e-02 1.346357e-02 9.684108e-01
6.800000e+00 8.985951e-03 1.389985e-03 1.501026e+00 1.492687e-02 1.328670e-02 9.686809e-01
6.840000e+00 8.797412e-03 1.347107e-03 1.509172e+00 1.473580e-02 1.311223e-02 9.689507e-01
6.880000e+00 8.618469e-03 1.311102e-03 1.514433e+00 1.454725e-02 1.294012e-02 9.692202e-01
6.920000e+00 8.503713e-03 1.289737e-03 1.516866e+00 1.436117e-02 1.277033e-02 9.694893e-01
6.960000e+00 8.386769e-03 1.265274e-03 1.521130e+00 1.417754e-02 1.260283e-02 9.697582e-01
7.000000e+00 8.243923e-03 1.232958e-03 1.528122e+00 1.399631e-02 1.243758e-02 9.700267e-01
7.040000e+00 8.082781e-03 1.197393e-03 1.535786e+00 1.381746e-02 1.227456e-02 9.702949e-01
7.080000e+00 7.909591e-03 1.162170e-03 1.542379e+00 1.364095e-02 1.211372e-02 9.705628e-01
7.120000e+00 7.798541e-03 1.143034e-03 1.544360e+00 1.346674e-02 1.195504e-02 9.708305e-01
7.160000e+00 7.690342e-03 1.120641e-03 1.549035e+00 1.329480e-02 1.179848e-02 9.710978e-01
7.200000e+00 7.601794e-03 1.102803e-03 1.552626e+00 1.312510e-02 1.164402e-02 9.713649e-01
7.240000e+00 7.408925e-03 1.059197e-03 1.564405e+00 1.295762e-02 1.149162e-02 9.716317e-01
7.280000e+00 7.267495e-03 1.030715e-03 1.570826e+00 1.279231e-02 1.134126e-02 9.718982e-01
7.320000e+00 7.170646e-03 1.014655e-03 1.572667e+00 1.262915e-02 1.119290e-02 9.721645e-01
7.360000e+00 7.063848e-03 9.953817e-04 1.576022e+00 1.246810e-02 1.104652e-02 9.724305e-01
7.400000e+00 6.966433e-03 9.750215e-04 1.581475e+00 1.230915e-02 1.090209e-02 9.726963e-01
7.440000e+00 6.833755e-03 9.451744e-04 1.591014e+00 1.215226e-02 1.075958e-02 9.729618e-01
7.480000e+00 6.699810e-03 9.192128e-04 1.597493e+00 1.199739e-02 1.061896e-02 9.732272e-01
7.520000e+00 6.572015e-03 8.950205e-04 1.603455e+00 1.184453e-02 1.048021e-02 9.734922e-01
7.560000e+00 6.470130e-03 8.780421e-04 1.606292e+00 1.169365e-02 1.034331e-02 9.737571e-01
7.600000e+00 6.390534e-03 8.619250e-04 1.611236e+00 1.154472e-02 1.020821e-02 9.740217e-01
7.640000e+00 6.276657e-03 8.383300e-04 1.619099e+00 1.139770e-02 1.007491e-02 9.742862e-01
7.680000e+00 6.140914e-03 8.110925e-04 1.628079e+00 1.125259e-02 9.943373e-03 9.745504e-01
7.720000e+00 6.019239e-03 7.893392e-04 1.633848e+00 1.110935e-02 9.813576e-03 9.748145e-01
7.760000e+00 5.919844e-03 7.724486e-04 1.637853e+00 1.096795e-02 9.685494e-03 9.750783e-01
7.800000e+00 5.846626e-03 7.580177e-04 1.643011e+00 1.082837e-02 9.559106e-03 9.753420e-01
7.840000e+00 5.741592e-03 7.369201e-04 1.651133e+00 1.069059e-02 9.434386e-03 9.756054e-01
7.880000e+00 5.623442e-03 7.131330e-04 1.660799e+00 1.055458e-02 9.311312e-03 9.758687e-01
7.920000e+00 5.504761e-03 6.934994e-04 1.666097e+00 1.042032e-02 9.189862e-03 9.761319e-01
7.960000e+00 5.421702e-03 6.804249e-04 1.669177e+00 1.028779e-02 9.070014e-03 9.763948e-01
8.000000e+00 5.352015e-03 6.672707e-04 1.674473e+00 1.015695e-02 8.951744e-03 9.766576e-01
